country,year,category,sumPrice,meanPrice,medianPrice
NGA,2017,oil and fats,1080.71,2.7569132653061224,2.1100000000000003
NGA,2017,pulses and nuts,31152.94,38.22446625766871,4.51
NGA,2017,vegetables and fruits,312.122,0.4359245810055866,0.33
NIC,2017,cereals and tubers,1460.37,8.90469512195122,0.645
NIC,2017,"meat, fish and eggs",198.24,2.509367088607595,2.54
NIC,2017,milk and dairy,36.56,1.828,1.75
NIC,2017,miscellaneous food,88.96000000000001,1.3082352941176472,0.37
NIC,2017,non-food,45.59,3.2564285714285712,3.3049999999999997
NIC,2017,oil and fats,31.209999999999997,1.2003846153846154,1.21
NIC,2017,pulses and nuts,596.41,15.292564102564102,0.52
NIC,2017,vegetables and fruits,78.83,0.4748795180722891,0.285
NPL,2017,cereals and tubers,24.68,0.4113333333333333,0.4
PAK,2017,cereals and tubers,77.79,0.4602958579881657,0.39
PAK,2017,"meat, fish and eggs",100.51,1.1965476190476192,1.1949999999999998
PAK,2017,milk and dairy,34.27,0.7969767441860466,0.81
PAK,2017,miscellaneous food,26.249,0.320109756097561,0.145
PAK,2017,non-food,333.93,2.4553676470588237,0.78
PAK,2017,oil and fats,150.92,1.7548837209302324,1.76
PAK,2017,pulses and nuts,176.68,1.348702290076336,1.24
PAN,2017,cereals and tubers,606.22,12.629583333333334,0.92
PAN,2017,pulses and nuts,2057.67,41.153400000000005,1.315
PER,2017,cereals and tubers,115.24,1.0020869565217392,0.82
PER,2017,"meat, fish and eggs",22.38,2.4866666666666664,2.51
PER,2017,miscellaneous food,7.2,0.9,0.9
PER,2017,oil and fats,13.16,2.193333333333334,2.225
PHL,2017,cereals and tubers,538.88,0.8030998509687034,0.74
PHL,2017,"meat, fish and eggs",1832.995,2.760534638554217,2.9
PHL,2017,pulses and nuts,155.74,1.656808510638298,1.625
PHL,2017,vegetables and fruits,1071.27,1.287584134615385,1.16
PSE,2017,cereals and tubers,6039.22,15.21214105793451,1.33
PSE,2017,"meat, fish and eggs",4447.6,8.16073394495413,4.64
PSE,2017,milk and dairy,3060.44,7.0517050691244245,2.22
PSE,2017,miscellaneous food,464.54,1.7078676470588237,0.985
PSE,2017,non-food,192.55,1.2503246753246755,1.29
PSE,2017,oil and fats,1345.57,7.352841530054644,6.93
PSE,2017,pulses and nuts,435.51,2.3669021739130436,2.23
PSE,2017,vegetables and fruits,584.83,1.165,1.05
RUS,2017,cereals and tubers,18.56,0.2689855072463768,0.27
RWA,2017,cereals and tubers,424.21,0.5686461126005362,0.51
RWA,2017,"meat, fish and eggs",325.28000000000003,2.126013071895425,2.17
RWA,2017,miscellaneous food,138.52,0.7447311827956989,0.435
RWA,2017,oil and fats,270.71999999999997,1.7810526315789472,1.82
RWA,2017,pulses and nuts,53.96,0.5188461538461538,0.515
RWA,2017,vegetables and fruits,50.904,0.295953488372093,0.3
SDN,2017,cereals and tubers,12668.05,31.35655940594059,3.385
SDN,2017,non-food,28.0,3.111111111111111,2.76
SEN,2017,cereals and tubers,662.11,0.4241575912876361,0.43
SLE,2017,cereals and tubers,161.744,0.4126122448979591,0.47
SLE,2017,"meat, fish and eggs",588.15,2.8690243902439025,2.65
SLE,2017,miscellaneous food,407.29,3.806448598130842,3.97
SLE,2017,oil and fats,297.03,1.31429203539823,1.255
SLE,2017,pulses and nuts,230.75,1.0833333333333333,1.08
SLV,2017,cereals and tubers,1307.3,15.38,13.0
SLV,2017,pulses and nuts,1884.36,36.23769230769231,50.27
SOM,2017,cereals and tubers,19434.538205455312,25.10922248766836,26.09
SOM,2017,"meat, fish and eggs",105377.49487729218,924.3639901516858,232.7
SOM,2017,milk and dairy,2730.9024386460837,48.76611497582292,47.48
SOM,2017,non-food,6962.002464191095,30.138538806022055,35.25
SOM,2017,oil and fats,5137.997315938252,45.87497603516296,50.43
SSD,2017,cereals and tubers,435.43,2.3285026737967915,2.13
SSD,2017,non-food,186.62,1.794423076923077,1.64
SSD,2017,oil and fats,176.14,2.4128767123287673,2.4
SSD,2017,pulses and nuts,423.82,2.4357471264367816,2.135
SWZ,2017,cereals and tubers,410.61,1.7037759336099585,0.9
SWZ,2017,miscellaneous food,72.69,0.8551764705882353,0.93
SWZ,2017,oil and fats,11.74,1.4675,1.465
SWZ,2017,pulses and nuts,64.53,1.500697674418605,1.5
SWZ,2017,vegetables and fruits,35.25,0.9527027027027029,0.95
SYR,2017,cereals and tubers,896.771,0.605108636977058,0.5
SYR,2017,"meat, fish and eggs",49234.38,49.33304609218437,3.88
SYR,2017,milk and dairy,834.38,1.713305954825462,1.75
SYR,2017,miscellaneous food,2723.44,2.875860612460402,1.07
SYR,2017,non-food,4025.918,5.235263979193758,3.5
SYR,2017,oil and fats,440.42,1.7070542635658916,1.45
SYR,2017,pulses and nuts,887.21,1.2136935704514364,1.12
SYR,2017,vegetables and fruits,681.32,0.9449653259361998,0.44
TCD,2017,cereals and tubers,324.19,0.4271277997364954,0.34
TCD,2017,"meat, fish and eggs",5911.82,27.243410138248848,26.54
TCD,2017,non-food,1.99,0.995,0.995
TGO,2017,cereals and tubers,90.93,0.4968852459016394,0.48
THA,2017,cereals and tubers,10.79,0.2997222222222222,0.31
THA,2017,"meat, fish and eggs",17.46,1.455,1.46
TJK,2017,cereals and tubers,126.88,0.4681918819188191,0.37
TJK,2017,"meat, fish and eggs",408.36,2.686578947368421,2.155
TJK,2017,milk and dairy,18.88,0.5102702702702703,0.5
TJK,2017,miscellaneous food,264.86,1.6657861635220126,1.02
TJK,2017,non-food,784.81,3.2430165289256196,1.0
TJK,2017,oil and fats,107.8,1.382051282051282,1.4049999999999998
TJK,2017,pulses and nuts,173.51,1.410650406504065,1.36
TJK,2017,vegetables and fruits,42.78,0.350655737704918,0.34
TLS,2017,cereals and tubers,56.01,1.6473529411764705,1.5
TLS,2017,"meat, fish and eggs",26.88,2.4436363636363634,2.8
TLS,2017,non-food,29.14,1.2669565217391303,0.98
TUR,2017,cereals and tubers,156.44,0.959754601226994,0.88
TUR,2017,"meat, fish and eggs",899.26,5.955364238410596,5.35
TUR,2017,milk and dairy,708.3,6.810576923076923,1.41
TUR,2017,miscellaneous food,1064.44,5.3222000000000005,1.6349999999999998
TUR,2017,non-food,747.43,5.619774436090225,1.43
