Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Cameroon,CMR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1178.16417887669,1201.38440029464,1226.63602504207,1253.00090968749,1206.61560686483,..,..,..
Canada,CAN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,36540.5863286184,36858.1563304303,37004.2348799909,33886.852863714,36665.2739673267,..,..,..
Caribbean small states,CSS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Cayman Islands,CYM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Central African Republic,CAF,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,324.501122724509,394.183232216632,392.322383327595,379.480571151413,370.782304513421,..,..,..
Central Europe and the Baltics,CEB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,11084.409974259,11656.4173762548,12231.7605855319,12010.8613662845,12706.9958105009,..,..,..
Chad,TCD,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,450.611124057527,475.871533039814,483.043512090386,413.52998637784,436.184933734573,..,..,..
Channel Islands,CHI,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Chile,CHL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,10943.6722599105,10853.7024143823,10992.0464113894,9874.30027623414,10447.4570062813,..,..,..
China,CHN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,6809.31043326998,7058.37430673189,7355.04968677052,7361.26497200502,7861.41660591033,..,..,..
Colombia,COL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,5349.79297076849,5352.29737529563,5458.56303480284,5092.99783868513,5422.97006177342,..,..,..
Comoros,COM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1246.90945122568,1278.92959344454,1316.67831031454,1294.02013436038,1330.40911591664,..,..,..
"Congo, Dem. Rep.",COD,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,365.512359767733,408.292195853594,405.922528190962,411.20040248045,372.768806844594,..,..,..
"Congo, Rep.",COG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,774.897129772069,855.819698721232,734.499210319753,585.348164071452,775.334568257759,..,..,..
Costa Rica,CRI,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,11254.766927535,11351.4659126957,11556.3263997292,10937.8704607551,11459.8999216998,..,..,..
Cote d'Ivoire,CIV,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1755.40489347848,1789.84642356951,1831.62612562307,1842.45602386655,1857.41081181648,..,..,..
Croatia,HRV,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,11330.1251275596,11953.0855328124,12534.171107753,11302.75549488,12578.9431191722,..,..,..
Cuba,CUB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,6986.03147939998,7066.59560066739,7102.42477645821,..,..,..,..,..
Curacao,CUW,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Cyprus,CYP,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,22358.916015625,23171.361328125,23688.474609375,21395.23046875,22186.423828125,..,..,..
Czechia,CZE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,14037.5803628247,14426.209214409,14699.3592809046,13857.2247456858,14649.5039598442,..,..,..
Denmark,DNK,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,47532.6647182606,48346.2214293402,48807.2673324255,48329.3127133489,51315.9451272001,..,..,..
Djibouti,DJI,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2092.10186379841,2262.48698488818,2395.70511939525,2437.66656624792,2619.05582137384,..,..,..
Dominica,DMA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Dominican Republic,DOM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,6735.70780928202,7047.1863403443,7228.31646895531,6653.16286043559,7078.77514892044,..,..,..
Early-demographic dividend,EAR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2885.88018775131,2921.8348014247,2951.55704472356,2762.20226061358,2922.43985739088,..,..,..
East Asia & Pacific,EAS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,8090.85325256515,8270.60794028442,8475.16319988111,8311.66177998666,8668.40039250171,..,..,..
East Asia & Pacific (excluding high income),EAP,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,5540.72461089724,5737.52240629536,5967.54475997175,5925.91236532227,6274.6422734157,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,5603.17776868132,5802.0455195149,6034.54900319359,5992.3940205197,6345.07816549718,..,..,..
Ecuador,ECU,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4786.71283737331,4565.14662165273,4524.13076909338,4245.57590813973,4257.92473687991,..,..,..
"Egypt, Arab Rep.",EGY,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2849.32139290171,2886.82003537693,2994.77667199192,3096.55638127885,3098.0134807737,..,..,..
El Salvador,SLV,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3273.96760112186,3279.87386124565,3407.8433955419,3062.94520712526,3281.71171438825,..,..,..
Equatorial Guinea,GNQ,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2718.24883292117,2682.71856204637,2184.72832784855,2037.5935358763,2305.72201832379,..,..,..
Eritrea,ERI,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Estonia,EST,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,15475.948175629,16201.8668601669,16696.2490694278,15869.3443116532,17263.5103239471,..,..,..
Eswatini,SWZ,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2524.60287282096,2580.11310722219,2475.91509663341,2396.96451089648,2463.30512950054,..,..,..
Ethiopia,ETH,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,553.468020801149,619.959340063959,667.474555889477,703.660782048609,729.324707334046,..,..,..
Euro area,EMU,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,29423.7992857506,29848.590969901,30188.5085470451,27824.67115963,29383.854362899,..,..,..
Europe & Central Asia,ECS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,19246.6995361018,19554.8269422151,19788.7432790406,18498.7996420049,19422.2285702467,..,..,..
Europe & Central Asia (excluding high income),ECA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,6700.4858502943,7006.11498271178,7161.5678422412,6999.60020618558,7042.3879018477,..,..,..
European Union,EUU,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,26413.8907673397,26879.7979049223,27302.2343381124,25433.4084863898,26885.2376904998,..,..,..
Faroe Islands,FRO,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Federal Republic of Somalia,SOM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,279.910730790825,303.990709636212,307.755747539289,301.617449075636,306.481665051069,..,..,..
Fiji,FJI,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Finland,FIN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,36788.3888088846,37372.4997025788,37604.0962370877,37141.5628339263,38530.2782534852,..,..,..
Fragile and conflict affected situations,FCS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
France,FRA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,31700.9551822151,31976.3202487889,32401.8744303107,29152.2471518752,31680.9014052704,..,..,..
French Polynesia,PYF,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Gabon,GAB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4433.98273595005,5533.26890336914,5756.1235390343,5190.62202414085,5323.04770826983,..,..,..
"Gambia, The",GMB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,462.299074414236,524.200150786558,543.121071632805,548.212659988982,539.402417953237,..,..,..
Georgia,GEO,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3603.05114978572,3869.87782548919,4051.96638348389,3889.36508125733,4182.07814287813,..,..,..
Germany,DEU,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,36172.0289865985,36630.7116594109,36896.9948222058,35136.4430776562,36015.8570258126,..,..,..
Ghana,GHA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1438.96143897736,1543.22003010196,1616.33189284081,1686.48699054847,1596.23186217643,..,..,..
Gibraltar,GIB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Greece,GRC,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,15326.7256698357,15460.7918638443,15890.9166442204,14318.4208735707,15728.298841512,..,..,..
Greenland,GRL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Grenada,GRD,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Guam,GUM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Guatemala,GTM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3411.59156381463,3469.11174954338,3615.60424870816,3558.20382921376,3639.28857848398,..,..,..
Guinea,GIN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,698.693417657699,732.013059679078,764.252803267881,694.601625202794,678.32172039451,..,..,..
Guinea-Bissau,GNB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,515.17199810306,531.946428174112,555.849444209116,512.656168201029,531.082103069097,..,..,..
Guyana,GUY,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Haiti,HTI,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1418.26039261671,1416.77853242824,1383.92962417142,1289.35350467251,1259.0091127643,..,..,..
Heavily indebted poor countries (HIPC),HPC,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,828.652916879264,866.68544871377,886.355121240661,876.111832754357,869.767650073506,..,..,..
High income,HIC,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,31257.4926061518,31853.7951549894,32255.9884395771,30464.9968650113,31975.9265617843,..,..,..
Honduras,HND,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2123.16969040824,2069.4197336661,2105.42543157699,2008.38309490648,2113.61535318307,..,..,..
"Hong Kong SAR, China",HKG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Hungary,HUN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,10889.2773727492,11481.9903620239,12264.9677875351,11736.7304247334,12168.1919565178,..,..,..
IBRD only,IBD,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4704.32181863392,4809.01626783432,4931.25290454302,4781.82283527,5029.18674643311,..,..,..
Iceland,ISL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,46097.798851759,45028.643730128,47877.8756039013,42228.8928911516,42627.064190713,..,..,..
IDA & IBRD total,IBT,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3811.0534284778,3892.49133766465,3981.69629316049,3853.21444346921,4033.56028021042,..,..,..
IDA blend,IDB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
IDA only,IDX,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,982.25262015992,1033.63959731579,1084.73440983962,1078.07698747,1093.22267680696,..,..,..
IDA total,IDA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
India,IND,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1581.39127321571,1656.62732276122,1685.07779294141,1554.23905452974,1702.90328943451,..,..,..
Indonesia,IDN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2764.7516105217,2839.15400257941,2897.49480710415,2794.2412636062,2923.53268551607,..,..,..
"Iran, Islamic Rep.",IRN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4548.97037787248,3304.94202230555,3138.90202007521,3540.5178914141,3865.00225671722,..,..,..
Iraq,IRQ,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3502.93414358337,3843.77952759233,4036.03796181482,3182.8778262763,3773.74368872917,..,..,..
Ireland,IRL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,36301.7742294002,37164.3307256686,38525.1506625477,36021.7576834423,41798.5322216789,..,..,..
Isle of Man,IMN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Israel,ISR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,32426.8155003918,32888.4854650134,33859.149091553,32327.1003198017,34570.5120125464,..,..,..
