country,year,category,sumPrice,meanPrice
GTM,2017,milk and dairy,29.94,2.994
GTM,2017,miscellaneous food,1313.16,25.253076923076925
GTM,2017,pulses and nuts,4263.74,69.89737704918032
GTM,2017,vegetables and fruits,6851.47,19.917063953488373
HND,2017,cereals and tubers,18604.35,338.2609090909091
HND,2017,pulses and nuts,6070.07,252.91958333333332
HTI,2017,cereals and tubers,896.72,1.7277842003853563
HTI,2017,miscellaneous food,294.07,3.770128205128205
HTI,2017,oil and fats,448.0,6.222222222222222
HTI,2017,pulses and nuts,826.45,5.584121621621622
IDN,2017,cereals and tubers,252.06,0.8237254901960784
IDN,2017,"meat, fish and eggs",2509.19,5.205788381742739
IDN,2017,milk and dairy,3.0,0.75
IDN,2017,miscellaneous food,321.1,1.1149305555555555
IDN,2017,oil and fats,276.68,1.020959409594096
IDN,2017,vegetables and fruits,3422.96,3.5917733473242395
IND,2017,cereals and tubers,2893.477,1.7100927895981086
IND,2017,milk and dairy,312.54,0.6524843423799583
IND,2017,miscellaneous food,3099.96,1.770394060536836
IND,2017,oil and fats,3293.91,1.4659145527369826
IND,2017,pulses and nuts,2075.9,1.226166568222091
IND,2017,vegetables and fruits,400.409,0.4483863381858902
IRN,2017,cereals and tubers,34.9,2.908333333333333
IRN,2017,"meat, fish and eggs",41.85,3.4875000000000003
IRN,2017,miscellaneous food,12.49,1.0408333333333333
IRN,2017,oil and fats,19.04,1.586666666666667
IRN,2017,pulses and nuts,31.96,2.6633333333333336
IRQ,2017,cereals and tubers,535.448,0.7920828402366864
IRQ,2017,"meat, fish and eggs",3198.263,4.731158284023668
IRQ,2017,milk and dairy,2064.09,4.212428571428572
IRQ,2017,miscellaneous food,1070.02,2.110493096646943
IRQ,2017,non-food,4395.11,6.501642011834319
IRQ,2017,oil and fats,237.44,1.4049704142011834
IRQ,2017,pulses and nuts,627.27,1.855828402366864
IRQ,2017,vegetables and fruits,443.44,1.3356626506024096
JOR,2017,cereals and tubers,710.09,0.9582860998650472
JOR,2017,"meat, fish and eggs",4879.31,5.808702380952381
JOR,2017,milk and dairy,1598.8,3.5608017817371937
JOR,2017,miscellaneous food,198.39,0.6888541666666668
JOR,2017,non-food,1655.5199999999998,3.8322222222222218
JOR,2017,oil and fats,1524.73,5.294201388888889
JOR,2017,pulses and nuts,989.47,2.3615035799522675
JOR,2017,vegetables and fruits,1577.41,1.4551752767527677
JPN,2017,cereals and tubers,761.81,7.9355208333333325
JPN,2017,milk and dairy,46.35,1.93125
JPN,2017,miscellaneous food,42.12,1.755
JPN,2017,vegetables and fruits,81.95,1.7072916666666669
KAZ,2017,cereals and tubers,39.74,0.4139583333333334
KAZ,2017,"meat, fish and eggs",216.21,4.5043750000000005
KAZ,2017,milk and dairy,14.04,0.585
KAZ,2017,oil and fats,63.85,1.3302083333333334
KEN,2017,cereals and tubers,6769.65,18.856963788300835
KEN,2017,milk and dairy,5.22,0.4745454545454545
KEN,2017,non-food,26.32,0.7975757575757576
KEN,2017,oil and fats,20.01,1.8190909090909089
KEN,2017,pulses and nuts,4418.36,28.142420382165604
KGZ,2017,cereals and tubers,1527.29,0.8158600427350428
KGZ,2017,"meat, fish and eggs",4189.15,3.2027140672782872
KGZ,2017,milk and dairy,1853.81,2.2069166666666664
KGZ,2017,miscellaneous food,476.4,0.6964912280701754
KGZ,2017,non-food,290.95,0.5520872865275143
KGZ,2017,oil and fats,1443.58,3.1657456140350875
KGZ,2017,pulses and nuts,962.54,1.4134214390602056
KGZ,2017,vegetables and fruits,2054.9,1.1505599104143338
KHM,2017,cereals and tubers,101.07,0.4176446280991735
KHM,2017,"meat, fish and eggs",530.52,4.2783870967741935
KHM,2017,non-food,535.15,5.460714285714285
KHM,2017,oil and fats,127.59,1.1291150442477875
KHM,2017,pulses and nuts,28.91,0.8030555555555555
LAO,2017,cereals and tubers,747.29,0.680591985428051
LAO,2017,"meat, fish and eggs",9949.1,5.017196167423097
LAO,2017,miscellaneous food,168.77,0.9869590643274856
LAO,2017,non-food,345.84,0.939782608695652
LAO,2017,oil and fats,639.12,1.857906976744186
LAO,2017,vegetables and fruits,284.46,1.5459782608695651
LBN,2017,"meat, fish and eggs",2341.87,2.4599474789915967
LBN,2017,milk and dairy,394.08,1.3313513513513515
LBN,2017,non-food,9510.41,11.91780701754386
LBN,2017,oil and fats,1171.12,7.140975609756097
LBN,2017,pulses and nuts,1122.61,2.0712361623616236
LBN,2017,vegetables and fruits,176.71,0.7853777777777778
LBR,2017,cereals and tubers,16582.88,27.54631229235881
LBR,2017,miscellaneous food,86.31,1.34859375
LBR,2017,non-food,2327.61,3.1201206434316355
LBR,2017,oil and fats,1192.72,4.714308300395257
LBR,2017,pulses and nuts,246.28,1.0347899159663865
LBY,2017,cereals and tubers,690.17,1.6087878787878789
LBY,2017,"meat, fish and eggs",3556.26,10.711626506024096
LBY,2017,milk and dairy,1401.07,5.8868487394957985
LBY,2017,miscellaneous food,1197.02,2.850047619047619
