country,category,sumPrice,meanPrice
AFG,cereals and tubers,154.72,0.512317880794702
AFG,non-food,1578.63,4.111015625
AGO,cereals and tubers,123.54,2.57375
AGO,milk and dairy,538.6,44.88333333333333
AGO,miscellaneous food,9.0,4.5
AGO,oil and fats,133.24,8.882666666666667
ARG,cereals and tubers,69.05,0.9206666666666666
ARG,"meat, fish and eggs",12.77,4.256666666666667
ARG,milk and dairy,15.27,1.2725
ARG,miscellaneous food,14.059999999999999,1.1716666666666666
ARM,cereals and tubers,208.43,0.7443928571428572
ARM,"meat, fish and eggs",942.1,3.7684
ARM,milk and dairy,239.87,2.3987
ARM,miscellaneous food,45.12,0.9024
ARM,non-food,89.79,0.8162727272727274
ARM,oil and fats,79.37,1.5874000000000001
ARM,pulses and nuts,80.07,1.6014
ARM,vegetables and fruits,295.43,0.9847666666666667
BDI,cereals and tubers,2439.42,0.7683212598425198
BDI,"meat, fish and eggs",3272.91,5.211640127388534
BDI,non-food,14.23,1.5811111111111111
BDI,pulses and nuts,400.73,0.7018038528896673
BDI,vegetables and fruits,496.398,0.5230748155953636
BEN,cereals and tubers,19.06,0.7059259259259258
BFA,cereals and tubers,8707.94,4.8350583009439205
BFA,pulses and nuts,474.83,0.5586235294117647
BGD,cereals and tubers,1479.46,9.606883116883116
BGD,oil and fats,44.81,0.9144897959183674
BGD,pulses and nuts,53.13,1.041764705882353
BLR,cereals and tubers,26.400000000000002,0.7333333333333334
BOL,cereals and tubers,7936.95,12.00748865355522
BOL,"meat, fish and eggs",3197.841,13.159839506172839
BOL,milk and dairy,41.54,0.7040677966101695
BOL,miscellaneous food,56.21,0.77
BTN,cereals and tubers,266.91,14.047894736842107
CAF,cereals and tubers,150.02,0.4630246913580247
CAF,"meat, fish and eggs",959.21,5.92104938271605
CAF,oil and fats,160.12,1.5396153846153846
CAF,pulses and nuts,134.97,0.828036809815951
CAF,vegetables and fruits,42.26,4.695555555555555
CHN,cereals and tubers,79.32,0.48365853658536584
CIV,cereals and tubers,76.02,0.5242758620689655
CIV,"meat, fish and eggs",282.7,3.53375
CIV,miscellaneous food,14.91,1.3554545454545455
CIV,non-food,0.43,0.43
CIV,oil and fats,15.63,1.420909090909091
CIV,pulses and nuts,22.26,1.011818181818182
CIV,vegetables and fruits,3.99,0.665
CMR,cereals and tubers,7569.89,15.836589958158996
CMR,"meat, fish and eggs",261.12,2.9672727272727273
CMR,oil and fats,56.34,1.0630188679245283
CMR,pulses and nuts,6423.900000000001,40.401886792452835
CMR,vegetables and fruits,1380.26,11.797094017094016
COD,cereals and tubers,210.14000000000001,0.6291616766467066
COD,"meat, fish and eggs",606.5,4.097972972972973
COD,miscellaneous food,78.12,0.8979310344827587
COD,non-food,114.16,0.9434710743801653
COD,oil and fats,76.74,1.0808450704225352
COD,pulses and nuts,52.34,0.8871186440677966
COD,vegetables and fruits,38.82,0.9027906976744187
COG,cereals and tubers,266.85,1.0981481481481483
COG,"meat, fish and eggs",987.36,5.089484536082474
COG,oil and fats,181.19,1.4974380165289256
COG,pulses and nuts,270.95,2.1503968253968253
COG,vegetables and fruits,20.01,2.2233333333333336
COL,cereals and tubers,24310.75,108.53013392857143
COL,"meat, fish and eggs",166.777,2.1659350649350646
COL,milk and dairy,22.74,1.42125
COL,miscellaneous food,51.52,0.92
COL,non-food,2391.93,38.57951612903226
COL,oil and fats,23.83,1.489375
COL,pulses and nuts,61.8,1.3733333333333333
COL,vegetables and fruits,243.67000000000002,0.6429287598944592
CPV,cereals and tubers,90.53,0.8875490196078432
DJI,cereals and tubers,594.61,2.4171138211382113
DJI,miscellaneous food,29.9,0.8081081081081081
DJI,non-food,28.55,0.8157142857142857
