country,category,sumPrice,meanPrice,medianPrice
AFG,cereals and tubers,1716.61,0.713174075612796,0.52
AFG,miscellaneous food,470.04,0.5760294117647059,0.52
AFG,non-food,6398.42,3.949641975308642,3.39
AFG,oil and fats,561.63,1.3765441176470588,1.315
AFG,pulses and nuts,608.14,1.4905392156862745,1.49
ARM,cereals and tubers,1263.91,1.4012305986696232,1.34
ARM,"meat, fish and eggs",3812.84,5.777030303030303,6.98
ARM,milk and dairy,1166.9,2.946717171717172,1.36
ARM,miscellaneous food,645.74,1.6306565656565657,0.99
ARM,non-food,338.24,1.2812121212121212,1.29
ARM,oil and fats,1931.44,7.316060606060606,6.255
ARM,pulses and nuts,929.72,2.5969832402234636,2.355
ARM,vegetables and fruits,1009.67,1.0927164502164501,0.88
BDI,cereals and tubers,3002.76,0.8104615384615386,0.68
BDI,"meat, fish and eggs",11409.89,9.055468253968254,6.26
BDI,miscellaneous food,361.29,0.6868631178707225,0.7
BDI,non-food,2685.89,3.439039692701664,3.4
BDI,oil and fats,2089.39,2.2563606911447085,2.09
BDI,pulses and nuts,774.04,0.9847837150127225,0.985
BDI,vegetables and fruits,1017.01,0.8475083333333333,0.66
BEN,cereals and tubers,5775.789,0.865675809352518,0.79
BEN,"meat, fish and eggs",2764.82,4.059941262848752,2.54
BEN,miscellaneous food,192.7,2.5693333333333332,2.45
BEN,oil and fats,1793.53,1.7362342691190706,1.68
BEN,pulses and nuts,2496.95,1.1728276186002817,1.15
BEN,vegetables and fruits,5967.463,1.6067482498653742,0.66
BFA,cereals and tubers,1075.11,0.5827154471544715,0.54
BFA,pulses and nuts,972.76,0.9023747680890538,0.85
BGD,cereals and tubers,498.12,0.46336744186046513,0.45
BGD,"meat, fish and eggs",609.898,1.1573017077798862,1.42
BGD,milk and dairy,54.879999999999995,2.2866666666666666,2.27
BGD,miscellaneous food,233.37,1.1906632653061224,1.07
BGD,non-food,247.761,1.8489626865671642,0.915
BGD,oil and fats,801.68,1.229570552147239,1.19
BGD,pulses and nuts,481.024,1.0042254697286013,0.98
BGD,vegetables and fruits,1017.174,0.6896094915254237,0.42
BOL,cereals and tubers,755.595,1.9226335877862597,1.24
BOL,"meat, fish and eggs",560.741,2.6829712918660285,2.43
BOL,milk and dairy,50.54,0.8423333333333333,0.73
BOL,miscellaneous food,27.29,0.8269696969696969,0.93
BTN,cereals and tubers,33.76,0.422,0.44
BTN,miscellaneous food,5.8,0.15675675675675677,0.16
BTN,oil and fats,60.6,1.6833333333333333,1.7
BTN,pulses and nuts,27.93,0.963103448275862,0.96
CAF,cereals and tubers,534.934,0.67372040302267,0.37
CAF,"meat, fish and eggs",1293.6,5.6,5.78
CAF,miscellaneous food,695.5,1.5119565217391304,1.92
CAF,oil and fats,440.71,1.8833760683760683,2.075
CAF,pulses and nuts,658.91,1.0152696456086285,0.99
CIV,cereals and tubers,96.86,0.6330718954248366,0.65
CIV,"meat, fish and eggs",349.43,4.159880952380952,3.1
CIV,oil and fats,11.14,1.8566666666666667,1.685
CIV,pulses and nuts,56.87,1.093653846153846,1.06
CMR,cereals and tubers,16652.462,6.382699118436182,0.84
CMR,"meat, fish and eggs",3225.04,3.3734728033472803,3.1950000000000003
CMR,milk and dairy,1015.85,5.551092896174864,5.78
CMR,miscellaneous food,551.93,1.0655019305019304,1.19
CMR,non-food,433.28,8.842448979591836,5.8
CMR,oil and fats,2801.61,4.548068181818182,2.03
CMR,pulses and nuts,7994.75,9.9934375,1.45
CMR,vegetables and fruits,3777.468,3.4403169398907103,0.92
COD,cereals and tubers,2093.847,0.8312215164747917,0.71
COD,"meat, fish and eggs",4097.32,4.198073770491803,4.21
COD,miscellaneous food,612.01,1.0812897526501766,0.92
COD,non-food,805.91,1.0745466666666665,1.0
COD,oil and fats,769.13,1.3709982174688058,1.25
COD,pulses and nuts,757.79,1.271459731543624,1.0950000000000002
COD,vegetables and fruits,92.26,0.7322222222222222,0.37
COG,cereals and tubers,32.63,0.9322857142857144,0.96
COG,miscellaneous food,13.72,0.9800000000000001,0.83
COG,oil and fats,35.36,2.3573333333333335,1.84
COG,pulses and nuts,47.379999999999995,2.632222222222222,2.5
COL,cereals and tubers,1552.48,1.097934936350778,0.86
COL,"meat, fish and eggs",4611.247,4.468262596899225,4.275
COL,milk and dairy,2152.08,6.9646601941747575,5.61
COL,miscellaneous food,1466.85,2.736660447761194,0.99
COL,oil and fats,467.74,2.4361458333333332,2.2350000000000003
COL,pulses and nuts,596.1899999999999,1.9294174757281553,1.8
COL,vegetables and fruits,1864.09,0.7553038897893031,0.65
DJI,cereals and tubers,173.19,0.7401282051282051,0.715
DJI,"meat, fish and eggs",136.75,2.580188679245283,1.41
DJI,miscellaneous food,46.93,0.9386,0.9
DJI,non-food,32.74,0.8185,0.82
DJI,oil and fats,70.0,1.627906976744186,1.46
DJI,pulses and nuts,49.42,1.2671794871794873,1.35
DJI,vegetables and fruits,183.89999999999998,1.0508571428571427,1.13
DZA,cereals and tubers,222.223,1.0787524271844662,0.97
DZA,"meat, fish and eggs",631.93,3.9744025157232703,3.75
DZA,milk and dairy,216.78,1.2458620689655173,1.12
DZA,miscellaneous food,84.88,1.3473015873015872,0.91
DZA,oil and fats,197.15,6.359677419354839,6.01
DZA,pulses and nuts,811.7,6.292248062015505,3.37
DZA,vegetables and fruits,499.13,2.640899470899471,1.87
ECU,cereals and tubers,165.27,1.8161538461538462,1.61
ECU,"meat, fish and eggs",499.85,5.616292134831461,4.13
ECU,milk and dairy,78.5,2.1805555555555554,1.08
ECU,miscellaneous food,35.44,1.2220689655172412,1.16
ECU,oil and fats,64.44,2.5776,2.48
ECU,pulses and nuts,285.63,3.3212790697674417,3.1799999999999997
ECU,vegetables and fruits,397.67,2.8004929577464788,1.255
EGY,cereals and tubers,16.689999999999998,0.5960714285714285,0.58
EGY,"meat, fish and eggs",40.9,1.410344827586207,1.77
EGY,milk and dairy,12.93,0.7183333333333333,0.73
EGY,miscellaneous food,7.6899999999999995,0.9612499999999999,0.915
EGY,oil and fats,11.459999999999999,1.4324999999999999,1.2
EGY,pulses and nuts,25.98,1.299,1.255
EGY,vegetables and fruits,5.22,0.348,0.39
ETH,cereals and tubers,83787.66,66.13074980268351,65.43
ETH,"meat, fish and eggs",131137.749,194.5663931750742,87.3
ETH,milk and dairy,148.98,1.4188571428571428,1.43
ETH,miscellaneous food,916.32,5.836433121019109,3.95
ETH,non-food,827.77,5.631088435374149,5.24
ETH,oil and fats,499.71,2.791675977653631,3.01
ETH,pulses and nuts,76125.91,141.7614711359404,122.33
ETH,vegetables and fruits,337.01,1.0498753894080997,0.96
GIN,cereals and tubers,716.45,1.0249642346208871,0.93
GIN,"meat, fish and eggs",1379.21,4.582093023255814,4.66
GIN,miscellaneous food,417.03,1.4041414141414141,1.16
GIN,oil and fats,326.19,1.6148019801980198,1.62
GIN,pulses and nuts,268.83,1.392901554404145,1.28
GIN,vegetables and fruits,524.13,1.7767118644067796,1.74
GMB,cereals and tubers,1917.98,0.9243277108433735,0.78
GMB,"meat, fish and eggs",6590.72,2.934425645592164,2.705
GMB,milk and dairy,1067.19,2.2326150627615062,1.17
GMB,miscellaneous food,1987.723,1.5468661478599222,1.0
GMB,non-food,426.46,1.149487870619946,1.16
GMB,oil and fats,1351.1,2.0754224270353303,1.93
GMB,pulses and nuts,607.83,1.5995526315789474,1.47
GMB,vegetables and fruits,5857.89,1.744458010720667,1.28
GNB,cereals and tubers,1777.93,0.8125822669104205,0.81
GNB,"meat, fish and eggs",10735.42,4.739699779249448,4.24
GNB,milk and dairy,1610.1399999999999,5.439662162162162,5.05
GNB,miscellaneous food,417.87,1.2042363112391932,1.19
GNB,non-food,2041.056,0.6819432008018711,0.33
GNB,oil and fats,2244.94,2.360609884332282,2.4
GNB,pulses and nuts,1343.52,2.0112574850299403,1.65
GNB,vegetables and fruits,3220.0,1.5909090909090908,1.36
HTI,cereals and tubers,1401.37,4.434715189873417,4.52
HTI,miscellaneous food,374.0,7.63265306122449,7.53
HTI,oil and fats,689.9,13.527450980392157,13.57
HTI,pulses and nuts,1330.02,9.637826086956522,9.67
