country,category,sumPrice,meanPrice,medianPrice
AFG,cereals and tubers,1252.76,0.6994751535455053,0.51
AFG,miscellaneous food,336.03,0.5490686274509804,0.55
AFG,non-food,4810.94,3.966150041220115,3.45
AFG,oil and fats,483.06,1.5786274509803921,1.58
AFG,pulses and nuts,443.65,1.4498366013071895,1.45
ARM,cereals and tubers,766.57,1.4518371212121213,1.34
ARM,"meat, fish and eggs",2316.4,6.016623376623377,7.75
ARM,milk and dairy,675.06,2.9223376623376622,1.36
ARM,miscellaneous food,373.22,1.6156709956709958,0.94
ARM,non-food,190.89,1.2395454545454545,1.255
ARM,oil and fats,1255.42,8.152077922077922,7.175
ARM,pulses and nuts,525.44,2.5506796116504855,2.375
ARM,vegetables and fruits,666.97,1.2374211502782932,0.88
BDI,cereals and tubers,2275.34,0.9253111020740139,0.66
BDI,"meat, fish and eggs",10795.55,13.229840686274509,9.754999999999999
BDI,miscellaneous food,378.52,1.042754820936639,1.01
BDI,non-food,2850.11,5.062362344582594,5.03
BDI,oil and fats,2260.22,3.57629746835443,3.52
BDI,pulses and nuts,512.6,0.9763809523809525,0.98
BDI,vegetables and fruits,811.29,1.0028306551297899,0.89
BFA,cereals and tubers,689.97,0.620476618705036,0.58
BFA,pulses and nuts,662.29,0.9914520958083832,0.98
BGD,cereals and tubers,165.609,0.4171511335012595,0.42
BGD,"meat, fish and eggs",514.264,1.060338144329897,1.21
BGD,milk and dairy,57.43,2.392916666666667,3.505
BGD,miscellaneous food,290.46,1.0600729927007297,1.0
BGD,non-food,189.473,1.6333879310344828,0.885
BGD,oil and fats,543.1,1.35775,1.36
BGD,pulses and nuts,182.95,0.901231527093596,0.88
BGD,vegetables and fruits,736.151,0.5404926578560939,0.33
BOL,cereals and tubers,545.182,2.4123097345132742,1.6349999999999998
BOL,"meat, fish and eggs",407.996,3.5477913043478257,3.15
BOL,milk and dairy,32.16,0.9458823529411764,0.88
BOL,miscellaneous food,18.2,0.8666666666666666,1.02
CAF,cereals and tubers,364.443,0.7159980353634577,0.41
CAF,"meat, fish and eggs",940.79,5.8434161490683225,5.86
CAF,miscellaneous food,445.43,1.5795390070921986,1.88
CAF,oil and fats,261.42,1.7663513513513514,1.955
CAF,pulses and nuts,493.48,1.0681385281385283,1.01
CIV,cereals and tubers,78.48,0.7200000000000001,0.76
CIV,"meat, fish and eggs",307.34000000000003,4.656666666666667,3.715
CIV,oil and fats,9.2,1.8399999999999999,1.78
CIV,pulses and nuts,41.42,1.3361290322580646,1.28
CMR,cereals and tubers,1047.113,0.7914686318972034,0.75
CMR,"meat, fish and eggs",1927.72,3.218230383973289,3.2
CMR,milk and dairy,862.07,5.785704697986578,5.92
CMR,miscellaneous food,376.16,1.0778223495702006,1.34
CMR,oil and fats,717.11,2.179665653495441,2.32
CMR,pulses and nuts,637.22,1.4750462962962965,1.49
CMR,vegetables and fruits,575.38,0.9265378421900161,0.79
COD,cereals and tubers,459.78,1.0425850340136054,1.02
COD,"meat, fish and eggs",249.59,4.709245283018868,4.69
COD,miscellaneous food,238.04,1.1668627450980391,1.1949999999999998
COD,non-food,327.83,1.1584098939929328,1.07
COD,oil and fats,350.13,1.8331413612565446,1.69
COD,pulses and nuts,267.99,1.5857396449704142,1.37
COD,vegetables and fruits,3.0,0.5,0.45
