country,category,sumPrice,meanPrice
AFG,cereals and tubers,133.03,0.4734163701067616
AFG,non-food,1424.49,3.709609375
AGO,cereals and tubers,73.3,1.5270833333333333
AGO,milk and dairy,316.35,26.3625
AGO,miscellaneous food,8.280000000000001,2.7600000000000002
AGO,oil and fats,65.85,5.4875
ARG,cereals and tubers,51.980000000000004,0.8383870967741937
ARG,"meat, fish and eggs",2.83,2.83
ARG,milk and dairy,11.25,0.9375
ARG,miscellaneous food,9.45,0.7875
ARM,cereals and tubers,838.7,0.9960807600950119
ARM,"meat, fish and eggs",2627.92,3.9816969696969697
ARM,milk and dairy,695.49,2.634431818181818
ARM,miscellaneous food,411.67,1.0395707070707072
ARM,non-food,236.59,0.8961742424242425
ARM,oil and fats,190.32,1.4418181818181817
ARM,pulses and nuts,677.65,1.9035112359550561
ARM,vegetables and fruits,745.77,0.8071103896103896
BDI,cereals and tubers,1417.02,0.5365467625899281
BDI,"meat, fish and eggs",6732.81,6.400009505703422
BDI,miscellaneous food,237.83,0.5717067307692308
BDI,non-food,1477.97,1.8046031746031745
BDI,oil and fats,1193.49,1.5419767441860466
BDI,pulses and nuts,343.45,0.5811336717428088
BDI,vegetables and fruits,571.031,0.5517207729468598
BEN,cereals and tubers,1100.808,0.5718483116883117
BEN,"meat, fish and eggs",408.12,2.0716751269035534
BEN,oil and fats,551.36,1.303451536643026
BEN,pulses and nuts,761.22,0.8401986754966888
BEN,vegetables and fruits,1947.317,1.2458841970569419
BFA,cereals and tubers,8260.54,4.49430903155604
BFA,pulses and nuts,542.73,0.6010299003322259
BGD,cereals and tubers,956.66,7.302748091603053
BGD,oil and fats,27.68,0.7908571428571428
BGD,pulses and nuts,23.7,0.7181818181818181
BLR,cereals and tubers,28.65,0.7958333333333333
BOL,cereals and tubers,9192.349,11.49043625
BOL,"meat, fish and eggs",3409.833,14.509927659574469
BOL,milk and dairy,35.62,0.7123999999999999
BOL,miscellaneous food,65.03,0.7306741573033708
BTN,cereals and tubers,138.64,0.3927478753541076
BTN,miscellaneous food,0.66,0.11
