country,category,usdprice
JPN,vegetables and fruits,5.5
KAZ,cereals and tubers,36.56
KAZ,"meat, fish and eggs",209.06
KAZ,milk and dairy,10.98
KAZ,oil and fats,50.339999999999996
KEN,cereals and tubers,1276.98
KEN,"meat, fish and eggs",8.91
KEN,milk and dairy,5.32
KEN,miscellaneous food,0.99
KEN,non-food,31.08
KEN,oil and fats,20.32
KEN,pulses and nuts,1027.18
KEN,vegetables and fruits,1.199
KGZ,cereals and tubers,1163.1
KGZ,"meat, fish and eggs",3633.25
KGZ,milk and dairy,1510.08
KGZ,miscellaneous food,358.79
KGZ,non-food,186.41
KGZ,oil and fats,1174.33
KGZ,pulses and nuts,744.25
KGZ,vegetables and fruits,1675.46
KHM,cereals and tubers,404.99
KHM,"meat, fish and eggs",12203.01
KHM,miscellaneous food,171.15
KHM,non-food,185.15
KHM,oil and fats,2993.41
KHM,pulses and nuts,27.61
KHM,vegetables and fruits,2734.85
LAO,cereals and tubers,840.17
LAO,"meat, fish and eggs",9027.73
LAO,miscellaneous food,155.33
LAO,non-food,331.07
LAO,oil and fats,522.97
LAO,vegetables and fruits,343.93
LBN,"meat, fish and eggs",3912.06
LBN,milk and dairy,694.18
LBN,non-food,11175.47
LBN,oil and fats,4615.93
LBN,pulses and nuts,1802.47
LBN,vegetables and fruits,152.99
LBR,cereals and tubers,10954.44
LBR,miscellaneous food,1098.91
LBR,non-food,2321.68
LBR,oil and fats,558.41
LBR,pulses and nuts,110.48
LBR,vegetables and fruits,854.54
LBY,cereals and tubers,4025.2
LBY,"meat, fish and eggs",18601.25
LBY,milk and dairy,1996.49
LBY,miscellaneous food,4179.05
LBY,non-food,8583.25
LBY,oil and fats,1614.77
LBY,pulses and nuts,1274.68
LBY,vegetables and fruits,2057.42
LKA,cereals and tubers,78.74
LKA,"meat, fish and eggs",625.194
LKA,miscellaneous food,80.73
LKA,pulses and nuts,42.42
LKA,vegetables and fruits,220.11
LSO,cereals and tubers,1156.79
LSO,oil and fats,110.68
LSO,pulses and nuts,134.9
MDG,cereals and tubers,125.63
MDG,oil and fats,68.55
MDG,pulses and nuts,34.44
MEX,cereals and tubers,42.94
MEX,pulses and nuts,70.62
MLI,cereals and tubers,2259.77
MLI,"meat, fish and eggs",84630.552
MLI,milk and dairy,620.36
MLI,miscellaneous food,325.92900000000003
MLI,non-food,1622.98
MLI,oil and fats,340.89
MLI,pulses and nuts,1330.86
MLI,vegetables and fruits,244.29
MMR,cereals and tubers,236.41
MMR,"meat, fish and eggs",307.64
MMR,miscellaneous food,172.361
MMR,non-food,154.45
MMR,oil and fats,754.09
MMR,pulses and nuts,730.22
MMR,vegetables and fruits,511.53000000000003
MNG,cereals and tubers,48.79
MNG,"meat, fish and eggs",308.32
MNG,milk and dairy,30.59
MOZ,cereals and tubers,975.4
MOZ,miscellaneous food,317.54
MOZ,oil and fats,488.06
MOZ,pulses and nuts,1652.72
MRT,cereals and tubers,394.18
MRT,"meat, fish and eggs",39613.05
MRT,milk and dairy,268.54
MRT,miscellaneous food,50.92
MRT,non-food,2627.46
MRT,oil and fats,89.42
MRT,pulses and nuts,141.16
MWI,cereals and tubers,490.382
MWI,"meat, fish and eggs",192.899
MWI,miscellaneous food,110.09
MWI,non-food,9727.072
MWI,oil and fats,121.12
MWI,pulses and nuts,430.25690000000003
MWI,vegetables and fruits,49.653
NAM,cereals and tubers,371.174
NER,cereals and tubers,7003.13
NGA,cereals and tubers,59919.7
NGA,"meat, fish and eggs",1363.107
NGA,milk and dairy,358.34
NGA,miscellaneous food,140.55
NGA,non-food,119.49
NGA,oil and fats,565.14
NGA,pulses and nuts,23191.49
NGA,vegetables and fruits,302.724
NIC,cereals and tubers,961.05
NIC,"meat, fish and eggs",82.01
NIC,milk and dairy,18.21
NIC,miscellaneous food,3.41
NIC,oil and fats,11.99
NIC,pulses and nuts,906.15
NIC,vegetables and fruits,26.4
NPL,cereals and tubers,390.43
NPL,"meat, fish and eggs",1226.398
NPL,milk and dairy,133.06
NPL,oil and fats,627.63
NPL,pulses and nuts,866.53
NPL,vegetables and fruits,975.92
PAK,cereals and tubers,65.7
PAK,"meat, fish and eggs",76.31
PAK,milk and dairy,25.36
PAK,miscellaneous food,26.12
PAK,non-food,263.48
PAK,oil and fats,127.49
PAK,pulses and nuts,186.84
PAN,cereals and tubers,459.72
PAN,pulses and nuts,2385.34
PER,cereals and tubers,76.83
PER,"meat, fish and eggs",8.43
PER,miscellaneous food,3.91
PER,oil and fats,10.35
PHL,cereals and tubers,3378.12
PHL,"meat, fish and eggs",31342.84
PHL,miscellaneous food,176.32
PHL,oil and fats,74.46000000000001
PHL,pulses and nuts,1709.52
PHL,vegetables and fruits,15473.048
PRY,cereals and tubers,25.25
PSE,cereals and tubers,6700.61
PSE,"meat, fish and eggs",3932.43
PSE,milk and dairy,3044.21
PSE,miscellaneous food,435.63
PSE,non-food,197.1
PSE,oil and fats,1264.64
PSE,pulses and nuts,383.64
PSE,vegetables and fruits,675.29
RUS,cereals and tubers,5.34
RWA,cereals and tubers,826.516
RWA,"meat, fish and eggs",607.11
RWA,miscellaneous food,227.88
RWA,oil and fats,555.61
RWA,pulses and nuts,122.54
RWA,vegetables and fruits,73.012
SDN,cereals and tubers,14419.38
SDN,"meat, fish and eggs",1964.09
SDN,milk and dairy,1328.34
SDN,miscellaneous food,314.22
SDN,non-food,25.78
SDN,oil and fats,486.95
SDN,pulses and nuts,313.03000000000003
SDN,vegetables and fruits,536.75
SEN,cereals and tubers,759.38
SEN,pulses and nuts,223.16
SLE,cereals and tubers,293.06
SLE,"meat, fish and eggs",1166.95
SLE,miscellaneous food,594.82
SLE,oil and fats,319.07
SLE,pulses and nuts,248.71
SLE,vegetables and fruits,257.98
SLV,cereals and tubers,562.89
SLV,pulses and nuts,303.59000000000003
SOM,cereals and tubers,17678.62
SOM,"meat, fish and eggs",36949.3
SOM,milk and dairy,4426.58
SOM,miscellaneous food,1892.83
SOM,non-food,8799.68
SOM,oil and fats,4043.95
SSD,cereals and tubers,15469.67
SSD,"meat, fish and eggs",84791.53
SSD,milk and dairy,151.31
SSD,miscellaneous food,638.94
SSD,non-food,2819.61
SSD,oil and fats,892.22
SSD,pulses and nuts,3257.04
SSD,vegetables and fruits,472.4
SWZ,cereals and tubers,288.85
SWZ,miscellaneous food,49.62
SWZ,non-food,13.86
SWZ,oil and fats,41.45
SWZ,pulses and nuts,58.09
SWZ,vegetables and fruits,22.99
SYR,cereals and tubers,608684.987
SYR,"meat, fish and eggs",188416.4
SYR,milk and dairy,2068.21
SYR,miscellaneous food,708.442
SYR,non-food,18570.732
SYR,oil and fats,1368.69
SYR,pulses and nuts,3345.24
SYR,vegetables and fruits,4731.621
TCD,cereals and tubers,663.15
TCD,"meat, fish and eggs",46782.03
TCD,pulses and nuts,358.61
TGO,cereals and tubers,88.32000000000001
THA,cereals and tubers,2.42
THA,"meat, fish and eggs",4.5
TJK,cereals and tubers,234.62
TJK,"meat, fish and eggs",774.34
TJK,milk and dairy,51.71
TJK,miscellaneous food,513.745
TJK,non-food,1079.12
TJK,oil and fats,161.49
TJK,pulses and nuts,273.19
TJK,vegetables and fruits,173.975
TLS,cereals and tubers,406.17
TLS,"meat, fish and eggs",162.75
TLS,miscellaneous food,91.72
TLS,non-food,11.4
TLS,oil and fats,51.34
TLS,pulses and nuts,118.4
TLS,vegetables and fruits,393.57
TUR,cereals and tubers,173.97
TUR,"meat, fish and eggs",784.321
TUR,milk and dairy,773.8100000000001
TUR,miscellaneous food,989.49
TUR,non-food,513.834
TUR,oil and fats,175.75
TUR,pulses and nuts,308.61
TUR,vegetables and fruits,386.94
TZA,cereals and tubers,38145.45
TZA,"meat, fish and eggs",1724.82
TZA,miscellaneous food,253.81
TZA,non-food,8.95
TZA,oil and fats,781.87
TZA,pulses and nuts,16924.420000000002
TZA,vegetables and fruits,642.147
UGA,cereals and tubers,180.42000000000002
UGA,"meat, fish and eggs",23.349999999999998
