country,category,sumPrice,meanPrice
GMB,cereals and tubers,2103.73,0.7737146009562339
GMB,"meat, fish and eggs",7026.24,2.5192685550376477
GMB,milk and dairy,1198.52,2.155611510791367
GMB,miscellaneous food,2557.019,1.5610616605616605
GMB,non-food,432.0,1.0
GMB,oil and fats,1461.95,1.8742948717948718
GMB,pulses and nuts,486.31,1.1948648648648648
GMB,vegetables and fruits,6656.07,1.5493645251396648
GNB,cereals and tubers,1519.23,0.7335731530661517
GNB,"meat, fish and eggs",8046.87,3.9214766081871346
GNB,milk and dairy,1423.24,5.495135135135135
GNB,miscellaneous food,347.55,1.0313056379821959
GNB,non-food,1749.361,0.5864435132417031
GNB,oil and fats,2008.25,2.221515486725664
GNB,pulses and nuts,1009.61,1.6000158478605389
GNB,vegetables and fruits,2456.047,1.2304844689378758
GTM,cereals and tubers,3490.84,26.445757575757575
GTM,"meat, fish and eggs",1354.49,75.24944444444445
GTM,miscellaneous food,1031.34,22.420434782608694
GTM,pulses and nuts,5203.2,72.26666666666667
GTM,vegetables and fruits,9169.93,23.880026041666667
HND,cereals and tubers,1052.75,27.70394736842105
HND,pulses and nuts,684.0,48.857142857142854
HTI,cereals and tubers,911.4399999999999,2.6965680473372777
HTI,miscellaneous food,225.69,3.891206896551724
HTI,oil and fats,574.49,10.078771929824562
HTI,pulses and nuts,864.6,7.327118644067797
IDN,cereals and tubers,3925.9,0.8073000205634382
IDN,"meat, fish and eggs",38918.08,5.1890773333333335
IDN,miscellaneous food,4258.06,0.9888666976312124
IDN,oil and fats,4565.96,1.0910298685782558
IDN,vegetables and fruits,39276.07,2.7252338329170134
IND,cereals and tubers,1784.84,0.39531339977851604
IND,milk and dairy,728.85,0.661388384754991
IND,miscellaneous food,5691.703,1.2885902196060675
IND,oil and fats,12002.53,2.039858939496941
IND,pulses and nuts,6183.8,1.3699158174568011
IND,vegetables and fruits,956.349,0.43117628494138865
IRN,cereals and tubers,70.68,5.890000000000001
IRN,"meat, fish and eggs",115.4,9.616666666666667
IRN,miscellaneous food,33.57,2.7975
IRN,non-food,74.12,6.176666666666667
IRN,oil and fats,37.27,3.1058333333333334
IRN,pulses and nuts,108.88,9.073333333333332
IRQ,cereals and tubers,776.63,0.6637863247863248
IRQ,"meat, fish and eggs",5121.729,4.742341666666667
IRQ,milk and dairy,2001.82,3.089228395061728
IRQ,miscellaneous food,1287.45,1.9868055555555557
IRQ,non-food,7189.6,3.025925925925926
IRQ,oil and fats,375.44,1.7381481481481482
IRQ,pulses and nuts,998.27,1.5405401234567901
IRQ,vegetables and fruits,522.1,0.7074525745257453
JOR,cereals and tubers,865.64,1.0018981481481481
JOR,"meat, fish and eggs",5131.32,5.939027777777778
JOR,milk and dairy,2186.83,3.796579861111111
JOR,miscellaneous food,193.49,0.6718402777777778
JOR,non-food,1807.4399999999998,3.1379166666666665
JOR,oil and fats,1708.51,5.932326388888889
JOR,pulses and nuts,871.91,2.018310185185185
JOR,vegetables and fruits,1770.93,1.623217231897342
KEN,cereals and tubers,24921.81,11.185731597845603
KEN,"meat, fish and eggs",1769.73,4.316414634146342
KEN,milk and dairy,210.61,0.6158187134502925
KEN,miscellaneous food,306.284,0.5578943533697632
KEN,oil and fats,721.9,1.875064935064935
KEN,pulses and nuts,45306.95,51.25220588235294
KEN,vegetables and fruits,13842.249,13.322665062560153
KGZ,cereals and tubers,1109.01,0.7701458333333333
